Song Name,Genre,Tempo,Beats,Chroma_stft,RSME,Spec_Cent,Spec_BW,Rolloff,ZCR,MFCC
"MIKSUMACLOUD - XXL (ft. JAMULE, SUMMER CEM, LUCIANO)",hiphop_rap,103.359375,49,0.35103032,0.0464563,1322.3418790634348,1319.5469062226393,2463.443437227893,0.07744548785797213,-10.401512
Lil Durk - 3 Headed Goat ft. Lil Baby _ Polo G (Dir. by ColeBennett),hiphop_rap,143.5546875,8,0.40763545,0.2588558,2353.8762502358495,2469.147160094799,5213.388785428779,0.07331031976744186,3.2064593
Post Malone - Wow. (Official Music Video),hiphop_rap,99.38401442307692,48,0.3388306,0.17249724,1475.3544767325595,1724.1820925661157,2893.2491715847523,0.06130688552147833,-6.488804
NF - Let You Down,hiphop_rap,99.38401442307692,48,0.34958604,0.16413459,1658.6485896619597,1946.9597155654376,3393.59614605505,0.07876558569562693,-1.1287754
Lil Wayne Feat. Lloyd - You,hiphop_rap,198.76802884615384,93,0.48983186,0.064958386,2254.061342207224,2560.8223253416204,4954.361708319224,0.09122998500386997,-3.693894
"Pop Smoke - For The Night (Audio) ft. Lil Baby, DaBaby",hiphop_rap,123.046875,61,0.35483727,0.14301182,1632.1204932706842,1854.8512580004317,3210.5305863607778,0.07103774126838236,-5.962568
Pop Smoke - 44 BullDog (Audio),hiphop_rap,143.5546875,64,0.39616364,0.116959564,2632.398176153225,2483.832974237672,5601.52446168126,0.12383938721458979,-2.187897
Travis Scott - HIGHEST IN THE ROOM (Official Music Video),hiphop_rap,151.99908088235293,75,0.47273472,0.22141491,1418.1396103171687,1775.0618878154087,3301.288370894205,0.03691889996130031,4.0653663
Drake - God_s Plan,hiphop_rap,112.34714673913044,32,0.20030361,0.048671152,1557.1766443626577,1500.418801716567,3210.388920550745,0.07524179747968267,-16.38277
Pop Smoke - Something Special (Audio),hiphop_rap,92.28515625,45,0.3178646,0.17312987,2709.503333048456,2857.5144160220675,6351.536593127177,0.10701824932275542,-5.855137
Eminem ft. Rihanna - The Monster (Explicit) [Official Video],hiphop_rap,89.10290948275862,31,0.43469808,0.04767275,1557.740542194535,1910.8537841562936,3133.364386307566,0.06076078149187306,-4.520719
La Hora Del té (feat. Andres Laforet),hiphop_rap,143.5546875,71,0.31502524,0.20843172,1760.5227800974353,1890.372679051347,3657.061219584462,0.07772553151606038,-4.953401
Kalvonix- One Day I_ll Be Fine (Official Video),hiphop_rap,143.5546875,70,0.3218027,0.1119915,2117.4320535175566,2070.097979249941,4299.715666874275,0.0987152005127709,-10.748068
DaBabyROCKSTAR FT RODDY RICCH [Audio],hiphop_rap,89.10290948275862,43,0.3098967,0.17752112,1759.6632762703189,2224.3756315569617,3826.6935271744387,0.05925134239551084,-9.675757
Pop Smoke - Mood Swings (Audio) ft. Lil Tjay,hiphop_rap,89.10290948275862,45,0.31839412,0.15311992,2276.1296901191217,2338.0690726617763,4905.195338954866,0.09452663929469814,-12.919716
The Black Eyed Peas - Where Is The Love (Official Music Video),hiphop_rap,95.703125,38,0.3454936,0.13244432,2123.2751573183937,2162.845205730491,4395.331755363535,0.10122916868227554,-4.96607
Future - Life Is Good (Official Music Video) ft. Drake,hiphop_rap,112.34714673913044,33,0.3252612,0.09061579,2297.1536996485547,2310.7640230859406,4687.4883220660795,0.09432596023606811,-6.9568934
Rin音 - snow jam (Official Music Video),hiphop_rap,172.265625,80,0.335405,0.16587777,2003.8731472216937,2270.830602598152,4236.407716355457,0.07894434500773993,-3.8899689
Don Toliver - After Party [Official Music Video],hiphop_rap,107.666015625,53,0.44544703,0.23242481,2218.8189949446364,2462.8278355384687,4955.203369896479,0.07864805050309598,5.3641973
Lil Mosey - Blueberry Faygo (Dir. by ColeBennett),hiphop_rap,99.38401442307692,48,0.3583513,0.12722255,1579.194544381253,1803.6616592357661,3303.746689362423,0.06635182856037151,-9.721426
Lil Baby _ 42 Dugg - Grace (Official Video),hiphop_rap,123.046875,61,0.35397473,0.15115914,1831.2432610387366,1832.1269817007196,3436.7458851344813,0.10011919806985294,-0.7364194
"Pop Smoke - Snitching (Audio) ft. Quavo, Future",hiphop_rap,135.99917763157896,59,0.4283692,0.25204995,2696.3587923474215,2697.8476147993993,5675.774012704383,0.11671244618324303,2.0058274
Outkast - Hey Ya! (Radio MixClub Mix),hiphop_rap,161.4990234375,74,0.41636604,0.32681462,2103.4983282443964,2423.072139860784,4664.9217918561335,0.0811967879256966,7.0115495
Flipp Dinero - How I Move (Official Music Video) ft. Lil Baby,hiphop_rap,123.046875,61,0.31469202,0.07344526,1591.2238220804159,1796.626288023312,3132.57272442797,0.07226108988003097,-6.291453
Meek Mill - Going Bad feat. Drake (Official Video),hiphop_rap,172.265625,76,0.44033855,0.13550729,1153.4081544652968,1522.6640342223689,2207.219986576045,0.0496342425744969,1.4034516
POP SMOKE - DIOR (OFFICIAL VIDEO),hiphop_rap,123.046875,61,0.4165794,0.20516294,1236.8209195519973,1891.7897402130513,2457.268474567047,0.04177676930147059,5.854562
POP SMOKE - CHRISTOPHER WALKING (OFFICIAL VIDEO),hiphop_rap,143.5546875,36,0.43987256,0.17608337,2055.165491072185,2010.1217456972547,4219.324486322078,0.09868194296633127,-2.4488068
Young T _ Bugsey - Don_t Rush (ft. Headie One) [Music Video]GRM Daily,hiphop_rap,107.666015625,53,0.38324472,0.2143237,1910.488002004005,2309.5464405306607,4115.400114738535,0.056334504402089786,0.8265646
Drake Best I Ever Had Official Video UNCENSORED,hiphop_rap,107.666015625,52,0.41732407,0.22964562,2446.8091593502904,2569.3160610610603,5368.575870289522,0.10699973091621517,3.8906338
Pop Smoke - Aim For The Moon (Audio) ft. Quavo,hiphop_rap,143.5546875,69,0.34128147,0.11469311,3240.5810775082737,3026.1771192539773,7233.614592655525,0.146933351876935,-5.645824
Travis Scott - SICKO MODE ft. Drake (Official Video),hiphop_rap,107.666015625,51,0.35235906,0.13039406,1607.642194475156,1338.4539008348431,2811.807997381724,0.1255816291360294,-4.50596
Young Thug - The London ft. J. Cole _ Travis Scott [Official Video],hiphop_rap,99.38401442307692,50,0.3746724,0.2020465,2265.7016096084667,2411.715468586693,4873.662196298133,0.08582147651412539,1.1609715
Wale - On Chill (feat. Jeremih) [Official Music Video],hiphop_rap,172.265625,83,0.37623328,0.19229138,1913.0907904782803,1907.8142433558855,3995.000842776461,0.08616387807178792,-5.7952065
Powfu - death bed (feat. Beabadoobee),hiphop_rap,143.5546875,69,0.29848763,0.14294691,2155.807447945293,2134.3491043114172,4509.972728811919,0.09617591125677244,-10.461223
Polo G - Flex (Official Audio) ft. Juice WRLD,hiphop_rap,80.74951171875,39,0.34221363,0.16454391,2319.7649451980906,2330.1403761195747,4856.053969439338,0.10011352916989164,-9.438684
Lil Baby x 42 Dugg - We Paid (Official Video),hiphop_rap,135.99917763157896,67,0.45718235,0.18903776,2215.4412540829708,2060.8139253775025,4108.233491407459,0.08876250181404799,0.6404612
POP SMOKE - MAKE IT RAIN ft. Rowdy Rebel (Official Audio),hiphop_rap,161.4990234375,77,0.46913144,0.15726039,2887.6349315922207,2008.7196114602834,4982.119873802729,0.20277201649574303,-4.7730613
Tricky - Andrez Babii (Video Oficial),hiphop_rap,184.5703125,72,0.28886595,0.099668615,2242.079067651362,2414.4858013889084,4965.794972517173,0.10109613849651702,-13.324818
Pop Smoke - Creature ft. Swae Lee,hiphop_rap,143.5546875,68,0.39389268,0.23257127,2495.419137127158,2724.569164203747,5746.423585496082,0.09081237604005418,-0.73361546
Invisible Session [01]Blue Number Seven x 011 x VHS x Tamezz,hiphop_rap,83.35433467741936,30,0.32115054,0.12537359,1249.075844449651,1458.7884339598986,2411.7604164147156,0.04460328282217492,-6.7839627
Flo Rida Low Official Music Video - Step Up 2 The Streets (2008 Movie),hiphop_rap,129.19921875,62,0.35966405,0.04086471,2272.307622877417,2312.200136612013,4656.030178955834,0.09823409986938854,-10.603456
StaySolidRocky- Party Girl (Official Music Video),hiphop_rap,129.19921875,50,0.33140603,0.13785505,1184.4618121016792,1495.854044345588,2243.311435002661,0.04809797068498452,-5.52402
Arizona Zervas - ROXANNE (Official Video),hiphop_rap,172.265625,73,0.4871999,0.2888306,2108.455620998074,2226.4855154381585,4352.923678466041,0.07495041602167182,2.2384946
SAINt JHN - Roses (Imanbek Remix) (Official Music Video),hiphop_rap,123.046875,55,0.43031138,0.32716715,1869.44694104543,2235.377840193888,4106.016838144592,0.0625767191128096,4.398151
OutKast - Ms. Jackson (Official Video),hiphop_rap,95.703125,32,0.48071074,0.06971827,2525.002215698246,2483.6952569546506,5199.218561036668,0.12763830604198917,-0.55104643
Pop Smoke - Bad Bitch From Tokyo (Intro) (Audio),hiphop_rap,143.5546875,66,0.3702972,0.19506246,2774.6995643251794,2509.15263775496,5639.115901037635,0.13614619110390866,-1.6923773
Post Malone - Circles,hiphop_rap,117.45383522727273,38,0.3729406,0.15028244,1171.3186028163964,1581.23356968845,2416.568720672891,0.04422573408475232,-4.8541694
B.o.B - Nothin_ On You (feat. Bruno Mars) [Official Video],hiphop_rap,103.359375,52,0.2927517,0.049044453,2020.2191064794831,2209.293204265942,4014.842389464009,0.08955199061532508,-11.203876
"JACKBOYS, Travis Scott - OUT WEST (Audio) ft. Young Thug",hiphop_rap,143.5546875,64,0.44982323,0.32738426,2669.69618554895,2827.79554362515,5994.772083766689,0.06614888194175697,5.8097124
"Drake - Demons (Audio) ft. Fivio Foreign, Sosa Geek",hiphop_rap,73.828125,36,0.31651285,0.22810952,2316.7444153196825,2276.991534003017,4671.771750435371,0.10958966234520123,-6.6389494
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,hiphop_rap,161.4990234375,76,0.22445707,0.07442713,1382.6840252387972,1731.1971985553716,2453.5684969403055,0.06691531721652477,-9.235598
Pop Smoke - Yea Yea (Audio),hiphop_rap,123.046875,62,0.3614329,0.21007872,2124.8430215988365,2226.2003914102906,4486.447871063516,0.07708985886706657,-4.0023746
Pop Smoke - Gangstas,hiphop_rap,92.28515625,41,0.34708348,0.1162023,1962.7666595141834,2429.4606254240684,4418.506615228328,0.07425956607972137,-1.9940965
